,score,metrics,experiment
0,0.5069227587819397,AUROC,0
1,0.6374643287201227,Accuracy,0
2,0.038612143742255266,Recall,0
3,0.2317762570663493,Precision,0
4,0.06619646498980286,F1 score,0
5,0.3205178945097268,AUPR,0
0,0.5127303440619654,AUROC,1
1,0.6525153091459801,Accuracy,1
2,0.005327134485931522,Recall,1
3,0.16176470588235295,Precision,1
4,0.010314595152140279,F1 score,1
5,0.3330043066541449,AUPR,1
0,0.5391714016502267,AUROC,2
1,0.6556445485627453,Accuracy,2
2,0.00023031922244230504,Recall,2
3,0.08928571428571429,Precision,2
4,0.00045945325063174823,F1 score,2
5,0.368182264474864,AUPR,2
0,0.5094368660036354,AUROC,3
1,0.6468837824433791,Accuracy,3
2,0.02072936660268714,Recall,3
3,0.31213872832369943,Precision,3
4,0.03887688984881209,F1 score,3
5,0.3439502952320651,AUPR,3
0,0.5270533043529652,AUROC,4
1,0.6539271841464217,Accuracy,4
2,0.014501891551071878,Recall,4
3,0.29721669980119286,Precision,4
4,0.027654458009618937,F1 score,4
5,0.3537409870491006,AUPR,4
0,0.5205172954644787,AUROC,0
1,0.6648299981853275,Accuracy,0
2,0.0028749876078120354,Recall,0
3,0.22393822393822393,Precision,0
4,0.005677090980277003,F1 score,0
5,0.3315360148662404,AUPR,0
0,0.525239097441226,AUROC,1
1,0.6562181027954298,Accuracy,1
2,0.002663567242965761,Recall,1
3,0.16034985422740525,Precision,1
4,0.0052400914634146345,F1 score,1
5,0.34357307366005485,AUPR,1
0,0.527405741384203,AUROC,2
1,0.650488356999256,Accuracy,2
2,0.0037775832680702077,Recall,2
3,0.15298507462686567,Precision,2
4,0.00737310614575372,F1 score,2
5,0.3520110806411119,AUPR,2
0,0.5141556826090741,AUROC,3
1,0.6542448540960569,Accuracy,3
2,0.0014876667626451674,Recall,3
3,0.22627737226277372,Precision,3
4,0.0029558998808104885,F1 score,3
5,0.3508353365130848,AUPR,3
0,0.5306700533980703,AUROC,4
1,0.6546723510724103,Accuracy,4
2,0.017947225455956537,Recall,4
3,0.3354487760652765,Precision,4
4,0.034071550255536626,F1 score,4
5,0.35384803983123886,AUPR,4
0,0.5299520803636997,AUROC,0
1,0.6645493392288528,Accuracy,0
2,0.004015267932384871,Recall,0
3,0.2523364485981308,Precision,0
4,0.007904752610520153,F1 score,0
5,0.33687323656548074,AUPR,0
0,0.5117566283474735,AUROC,1
1,0.6481164383561644,Accuracy,1
2,0.013755024943091006,Recall,1
3,0.21964423820572312,Precision,1
4,0.025888787602552418,F1 score,1
5,0.334453370409976,AUPR,1
0,0.5413562416652522,AUROC,2
1,0.6544660101953582,Accuracy,2
2,0.00258005067956692,Recall,2
3,0.24034334763948498,Precision,2
4,0.005105296745373324,F1 score,2
5,0.36917580744264195,AUPR,2
0,0.5214710985362353,AUROC,3
1,0.6533234126984127,Accuracy,3
2,0.0009118832789402956,Recall,3
3,0.11242603550295859,Precision,3
4,0.0018090930730778386,F1 score,3
5,0.3463587152925993,AUPR,3
0,0.5275733578158501,AUROC,4
1,0.6580515589503836,Accuracy,4
2,0.0034926024739267525,Recall,4
3,0.23920265780730898,Precision,4
4,0.0068846815834767644,F1 score,4
5,0.35237581109452026,AUPR,4
